timestamp,sensor_id,obs,depth_sigma,depth_deep_eps
2016-03-17 01:50:00,1,73.78,50,30
2016-03-17 01:52:00,1,73.32,50,30
2016-03-17 01:54:00,1,73.32,50,30
2016-03-17 01:56:00,1,73.32,50,30
2016-03-17 01:58:00,1,73.55,50,30
2016-03-17 02:00:00,1,68.7,50,30
2016-03-17 02:02:00,1,72.16,50,30
2016-03-17 02:04:00,1,72.85,50,30
2016-03-17 02:06:00,1,73.55,50,30
2016-03-17 02:08:00,1,73.32,50,30
2016-03-17 02:10:00,1,73.32,50,30
2016-03-17 02:12:00,1,73.55,50,30
2016-03-17 02:14:00,1,73.32,50,30
2016-03-17 02:16:00,1,73.32,50,30
2016-03-17 02:18:00,1,73.32,50,30
2016-03-17 02:20:00,1,72.39,50,30
2016-03-17 02:22:00,1,72.39,50,30
2016-03-17 02:24:00,1,72.39,50,30
2016-03-17 02:26:00,1,72.39,50,30
2016-03-17 02:28:00,1,72.39,50,30
2016-03-17 02:30:00,1,72.39,50,30
2016-03-17 02:32:00,1,65.23,50,30
2016-03-17 02:34:00,1,73.55,50,30
2016-03-17 02:36:00,1,75.16,50,30
2016-03-17 02:38:00,1,76.78,50,30
2016-03-17 02:40:00,1,76.55,50,30
2016-03-17 02:42:00,1,76.78,50,30
2016-03-17 02:44:00,1,76.55,50,30
2016-03-17 02:46:00,1,71.01,50,30
2016-03-17 02:48:00,1,72.16,50,30
2016-03-17 02:50:00,1,72.16,50,30
2016-03-17 02:52:00,1,73.78,50,30
2016-03-17 02:54:00,1,71.7,50,30
2016-03-17 02:56:00,1,65.92,50,30
2016-03-17 02:58:00,1,66.15,50,30
2016-03-17 03:00:00,1,66.15,50,30
2016-03-17 03:02:00,1,66.39,50,30
2016-03-17 03:04:00,1,66.39,50,30
2016-03-17 03:06:00,1,66.15,50,30
2016-03-17 03:08:00,1,66.15,50,30
2016-03-17 03:10:00,1,66.15,50,30
2016-03-17 03:12:00,1,66.15,50,30
2016-03-17 03:14:00,1,66.15,50,30
2016-03-17 03:16:00,1,66.15,50,30
2016-03-17 03:18:00,1,66.39,50,30
2016-03-17 03:20:00,1,66.15,50,30
2016-03-17 03:22:00,1,66.15,50,30
2016-03-17 03:24:00,1,66.39,50,30
2016-03-17 03:26:00,1,66.15,50,30
2016-03-17 03:28:00,1,65.92,50,30
2016-03-17 03:30:00,1,66.15,50,30
2016-03-17 03:32:00,1,66.15,50,30
2016-03-17 03:34:00,1,66.39,50,30
2016-03-17 03:36:00,1,66.15,50,30
2016-03-17 03:38:00,1,66.15,50,30
2016-03-17 03:40:00,1,65.92,50,30
2016-03-17 03:42:00,1,65.69,50,30
2016-03-17 03:44:00,1,22.77,50,30
2016-03-17 03:46:00,1,49.99,50,30
2016-03-17 03:48:00,1,47.45,50,30
2016-03-17 03:50:00,1,49.76,50,30
2016-03-17 03:52:00,1,52.3,50,30
2016-03-17 03:54:00,1,55.76,50,30
2016-03-17 03:56:00,1,65.46,50,30
2016-03-17 03:58:00,1,68.23,50,30
2016-03-17 04:00:00,1,70.08,50,30
2016-03-17 04:02:00,1,71.7,50,30
2016-03-17 04:04:00,1,60.15,50,30
2016-03-17 04:06:00,1,42.84,50,30
2016-03-17 04:08:00,1,38.69,50,30
2016-03-17 04:10:00,1,40.76,50,30
2016-03-17 04:12:00,1,39.38,50,30
2016-03-17 04:14:00,1,36.38,50,30
2016-03-17 04:16:00,1,35,50,30
2016-03-17 04:18:00,1,39.61,50,30
2016-03-17 04:20:00,1,43.3,50,30
2016-03-17 04:22:00,1,43.78,50,30
2016-03-17 04:24:00,1,40.3,50,30
2016-03-17 04:26:00,1,43.76,50,30
2016-03-17 04:28:00,1,43.53,50,30
2016-03-17 04:30:00,1,44.22,50,30
2016-03-17 04:32:00,1,48.84,50,30
2016-03-17 04:34:00,1,45.38,50,30
2016-03-17 04:36:00,1,42.38,50,30
2016-03-17 04:38:00,1,46.53,50,30
2016-03-17 04:40:00,1,53.45,50,30
2016-03-17 04:42:00,1,55.53,50,30
2016-03-17 04:44:00,1,48.38,50,30
2016-03-17 04:46:00,1,45.84,50,30
2016-03-17 04:48:00,1,49.53,50,30
2016-03-17 04:50:00,1,37.53,50,30
2016-03-17 04:52:00,1,36.61,50,30
2016-03-17 04:54:00,1,37.99,50,30
2016-03-17 04:56:00,1,39.38,50,30
2016-03-17 04:58:00,1,39.15,50,30
2016-03-17 05:00:00,1,42.38,50,30
2016-03-17 05:02:00,1,47.92,50,30
2016-03-17 05:04:00,1,46.53,50,30
2016-03-17 05:06:00,1,43.76,50,30
2016-03-17 05:08:00,1,43.76,50,30
2016-03-17 05:10:00,1,44.22,50,30
2016-03-17 05:12:00,1,43.99,50,30
2016-03-17 05:14:00,1,49.07,50,30
2016-03-17 05:16:00,1,51.38,50,30
2016-03-17 05:18:00,1,43.99,50,30
2016-03-17 05:20:00,1,50.92,50,30
2016-03-17 05:22:00,1,55.07,50,30
2016-03-17 05:24:00,1,57.15,50,30
2016-03-17 05:26:00,1,56.92,50,30
2016-03-17 05:28:00,1,57.15,50,30
2016-03-17 05:30:00,1,57.15,50,30
2016-03-17 05:32:00,1,56.69,50,30
2016-03-17 05:34:00,1,56.23,50,30
2016-03-17 05:36:00,1,49.3,50,30
2016-03-17 05:38:00,1,47.22,50,30
2016-03-17 05:40:00,1,51.84,50,30
2016-03-17 05:42:00,1,54.15,50,30
2016-03-17 05:44:00,1,55.07,50,30
2016-03-17 05:46:00,1,59,50,30
2016-03-17 05:48:00,1,58.07,50,30
2016-03-17 05:50:00,1,52.07,50,30
2016-03-17 05:52:00,1,49.99,50,30
2016-03-17 05:54:00,1,51.15,50,30
2016-03-17 05:56:00,1,55.3,50,30
2016-03-17 05:58:00,1,61.07,50,30
2016-03-17 06:00:00,1,65,50,30
2016-03-17 06:02:00,1,68.23,50,30
2016-03-17 06:04:00,1,71.7,50,30
2016-03-17 06:06:00,1,76.09,50,30
2016-03-17 06:08:00,1,79.79,50,30
2016-03-17 06:10:00,1,83.48,50,30
2016-03-17 06:12:00,1,87.18,50,30
2016-03-17 06:14:00,1,91.57,50,30
2016-03-17 06:16:00,1,95.04,50,30
2016-03-17 06:18:00,1,97.12,50,30
2016-03-17 06:20:00,1,101.29,50,30
2016-03-17 06:22:00,1,99.21,50,30
2016-03-17 06:24:00,1,101.06,50,30
2016-03-17 06:26:00,1,103.6,50,30
2016-03-17 06:28:00,1,103.6,50,30
2016-03-17 06:30:00,1,104.06,50,30
2016-03-17 06:32:00,1,103.83,50,30
2016-03-17 06:34:00,1,102.91,50,30
2016-03-17 06:36:00,1,100.59,50,30
2016-03-17 06:38:00,1,100.59,50,30
2016-03-17 06:40:00,1,100.59,50,30
2016-03-17 06:42:00,1,100.59,50,30
2016-03-17 06:44:00,1,100.36,50,30
2016-03-17 06:46:00,1,96.66,50,30
2016-03-17 06:48:00,1,92.5,50,30
2016-03-17 06:50:00,1,88.34,50,30
2016-03-17 06:52:00,1,83.02,50,30
2016-03-17 06:54:00,1,78.4,50,30
2016-03-17 06:56:00,1,84.18,50,30
2016-03-17 06:58:00,1,92.73,50,30
2016-03-17 07:00:00,1,98.74,50,30
2016-03-17 07:02:00,1,99.9,50,30
2016-03-17 07:04:00,1,99.9,50,30
2016-03-17 07:06:00,1,99.9,50,30
2016-03-17 07:08:00,1,99.21,50,30
2016-03-17 07:10:00,1,95.04,50,30
2016-03-17 07:12:00,1,92.5,50,30
